Experiment name:,NeuLog experiment
'0:59.2,3.0429
'0:59.25,3.0202
'0:59.3,3.0048
'0:59.35,2.9963
'0:59.4,2.9914
'0:59.45,2.9892
'0:59.5,2.9882
'0:59.55,2.9853
'0:59.6,2.9790
'0:59.65,2.9740
'0:59.7,2.9718
'0:59.75,2.9701
'0:59.8,2.9754
'0:59.85,3.0200
'0:59.9,3.0962
'0:59.95,3.1505
'1:00,3.1746
'1:00.05,3.1879
'1:00.1,3.1958
'1:00.15,3.2010
'1:00.2,3.2055
'1:00.25,3.2065
'1:00.3,3.1942
'1:00.35,3.1689
'1:00.4,3.1482
'1:00.45,3.1392
'1:00.5,3.1300
'1:00.55,3.0944
'1:00.6,3.0146
'1:00.65,2.8875
'1:00.7,2.7486
'1:00.75,2.6488
'1:00.8,2.5979
'1:00.85,2.5819
'1:00.9,2.5852
'1:00.95,2.5962
'1:01,2.6052
'1:01.05,2.6140
'1:01.1,2.6289
'1:01.15,2.6463
'1:01.2,2.6595
'1:01.25,2.6708
'1:01.3,2.6837
'1:01.35,2.6956
'1:01.4,2.7024
'1:01.45,2.7061
'1:01.5,2.7108
'1:01.55,2.7165
'1:01.6,2.7216
'1:01.65,2.7257
'1:01.7,2.7281
'1:01.75,2.7297
'1:01.8,2.7316
'1:01.85,2.7336
'1:01.9,2.7354
'1:01.95,2.7382
'1:02,2.7429
'1:02.05,2.7480
'1:02.1,2.7535
'1:02.15,2.7606
'1:02.2,2.7742
'1:02.25,2.8057
'1:02.3,2.8431
'1:02.35,2.8691
'1:02.4,2.8815
'1:02.45,2.8763
'1:02.5,2.8606
'1:02.55,2.8449
'1:02.6,2.8305
'1:02.65,2.8241
'1:02.7,2.8341
'1:02.75,2.8520
'1:02.8,2.8671
'1:02.85,2.8798
'1:02.9,2.8913
'1:02.95,2.8988
'1:03,2.9037
'1:03.05,2.9065
'1:03.1,2.9058
'1:03.15,2.9039
'1:03.2,2.9039
'1:03.25,2.9063
'1:03.3,2.9096
'1:03.35,2.9119
'1:03.4,2.9129
'1:03.45,2.9133
'1:03.5,2.9136
'1:03.55,2.9143
'1:03.6,2.9162
'1:03.65,2.9185
'1:03.7,2.9207
'1:03.75,2.9237
'1:03.8,2.9245
'1:03.85,2.9219
'1:03.9,2.9188
'1:03.95,2.9167
'1:04,2.9174
'1:04.05,2.9200
'1:04.1,2.9226
'1:04.15,2.9247
'1:04.2,2.9271
'1:04.25,2.9294
'1:04.3,2.9313
'1:04.35,2.9328
'1:04.4,2.9320
'1:04.45,2.9228
'1:04.5,2.8910
'1:04.55,2.8509
'1:04.6,2.8355
'1:04.65,2.8504
'1:04.7,2.8715
'1:04.75,2.8796
'1:04.8,2.8810
'1:04.85,2.8831
'1:04.9,2.8826
'1:04.95,2.8770
'1:05,2.8715
'1:05.05,2.8687
'1:05.1,2.8684
'1:05.15,2.8682
'1:05.2,2.8673
'1:05.25,2.8671
'1:05.3,2.8673
'1:05.35,2.8671
'1:05.4,2.8661
'1:05.45,2.8640
'1:05.5,2.8617
'1:05.55,2.8599
'1:05.6,2.8585
'1:05.65,2.8576
'1:05.7,2.8571
'1:05.75,2.8564
'1:05.8,2.8553
'1:05.85,2.8539
'1:05.9,2.8523
'1:05.95,2.8504
'1:06,2.8486
'1:06.05,2.8467
'1:06.1,2.8447
'1:06.15,2.8424
'1:06.2,2.8405
'1:06.25,2.8396
'1:06.3,2.8389
'1:06.35,2.8378
'1:06.4,2.8357
'1:06.45,2.8339
'1:06.5,2.8323
'1:06.55,2.8309
'1:06.6,2.8293
'1:06.65,2.8275
'1:06.7,2.8254
'1:06.75,2.8236
'1:06.8,2.8218
'1:06.85,2.8202
'1:06.9,2.8191
'1:06.95,2.8179
'1:07,2.8173
'1:07.05,2.8166
'1:07.1,2.8154
'1:07.15,2.8141
'1:07.2,2.8132
'1:07.25,2.8120
'1:07.3,2.8107
'1:07.35,2.8089
'1:07.4,2.8070
'1:07.45,2.8046
'1:07.5,2.8018
'1:07.55,2.7991
'1:07.6,2.7964
'1:07.65,2.7939
'1:07.7,2.7912
'1:07.75,2.7885
'1:07.8,2.7858
'1:07.85,2.7836
'1:07.9,2.7816
'1:07.95,2.7791
'1:08,2.7769
'1:08.05,2.7751
'1:08.1,2.7740
'1:08.15,2.7733
'1:08.2,2.7733
'1:08.25,2.7735
'1:08.3,2.7740
'1:08.35,2.7746
'1:08.4,2.7760
'1:08.45,2.7778
'1:08.5,2.7800
'1:08.55,2.7820
'1:08.6,2.7841
'1:08.65,2.7861
'1:08.7,2.7883
'1:08.75,2.7906
'1:08.8,2.7930
'1:08.85,2.7955
'1:08.9,2.7978
'1:08.95,2.7996
'1:09,2.8018
'1:09.05,2.8039
'1:09.1,2.8057
'1:09.15,2.8075
'1:09.2,2.8093
'1:09.25,2.8111
'1:09.3,2.8129
'1:09.35,2.8150
'1:09.4,2.8170
'1:09.45,2.8188
'1:09.5,2.8202
'1:09.55,2.8211
'1:09.6,2.8218
'1:09.65,2.8225
'1:09.7,2.8232
'1:09.75,2.8236
'1:09.8,2.8241
'1:09.85,2.8245
'1:09.9,2.8248
'1:09.95,2.8245
'1:10,2.8241
'1:10.05,2.8234
'1:10.1,2.8229
'1:10.15,2.8223
'1:10.2,2.8213
'1:10.25,2.8204
'1:10.3,2.8193
'1:10.35,2.8188
'1:10.4,2.8184
'1:10.45,2.8177
'1:10.5,2.8173
'1:10.55,2.8254
'1:10.6,2.8376
'1:10.65,2.8309
'1:10.7,2.8188
'1:10.75,2.8161
'1:10.8,2.8145
'1:10.85,2.8136
'1:10.9,2.8118
'1:10.95,2.8095
'1:11,2.8079
'1:11.05,2.8070
'1:11.1,2.8109
'1:11.15,2.8207
'1:11.2,2.8284
'1:11.25,2.8318
'1:11.3,2.8348
'1:11.35,2.8371
'1:11.4,2.8380
'1:11.45,2.8376
'1:11.5,2.8373
'1:11.55,2.8364
'1:11.6,2.8360
'1:11.65,2.8353
'1:11.7,2.8309
'1:11.75,2.8273
'1:11.8,2.8254
'1:11.85,2.8195
'1:11.9,2.8134
'1:11.95,2.8039
'1:12,2.7861
'1:12.05,2.7720
'1:12.1,2.7664
'1:12.15,2.7637
'1:12.2,2.7615
'1:12.25,2.7595
'1:12.3,2.7577
'1:12.35,2.7559
'1:12.4,2.7539
'1:12.45,2.7524
'1:12.5,2.7506
'1:12.55,2.7488
'1:12.6,2.7471
'1:12.65,2.7449
'1:12.7,2.7429
'1:12.75,2.7409
'1:12.8,2.7391
'1:12.85,2.7376
'1:12.9,2.7358
'1:12.95,2.7341
'1:13,2.7323
'1:13.05,2.7303
'1:13.1,2.7283
'1:13.15,2.7266
'1:13.2,2.7248
'1:13.25,2.7229
'1:13.3,2.7209
'1:13.35,2.7191
'1:13.4,2.7174
'1:13.45,2.7154
'1:13.5,2.7137
'1:13.55,2.7117
'1:13.6,2.7095
'1:13.65,2.7071
'1:13.7,2.7043
'1:13.75,2.7015
'1:13.8,2.6989
'1:13.85,2.6965
'1:13.9,2.6939
'1:13.95,2.6909
'1:14,2.6881
'1:14.05,2.6857
'1:14.1,2.6835
'1:14.15,2.6812
'1:14.2,2.6790
'1:14.25,2.6775
'1:14.3,2.6760
'1:14.35,2.6743
'1:14.4,2.6728
'1:14.45,2.6719
'1:14.5,2.6708
'1:14.55,2.6700
'1:14.6,2.6693
'1:14.65,2.6689
'1:14.7,2.6685
'1:14.75,2.6683
'1:14.8,2.6685
'1:14.85,2.6691
'1:14.9,2.6698
'1:14.95,2.6700
'1:15,2.6704
'1:15.05,2.6711
'1:15.1,2.6715
'1:15.15,2.6719
'1:15.2,2.6723
'1:15.25,2.6728
'1:15.3,2.6728
'1:15.35,2.6728
'1:15.4,2.6726
'1:15.45,2.6723
'1:15.5,2.6726
'1:15.55,2.6728
'1:15.6,2.6726
'1:15.65,2.6726
'1:15.7,2.6721
'1:15.75,2.6715
'1:15.8,2.6706
'1:15.85,2.6702
'1:15.9,2.6698
'1:15.95,2.6691
'1:16,2.6685
'1:16.05,2.6678
'1:16.1,2.6674
'1:16.15,2.6670
'1:16.2,2.6661
'1:16.25,2.6653
'1:16.3,2.6644
'1:16.35,2.6640
'1:16.4,2.6633
'1:16.45,2.6629
'1:16.5,2.6627
'1:16.55,2.6629
'1:16.6,2.6631
'1:16.65,2.6631
'1:16.7,2.6629
'1:16.75,2.6625
'1:16.8,2.6614
'1:16.85,2.6606
'1:16.9,2.6599
'1:16.95,2.6591
'1:17,2.6586
'1:17.05,2.6582
'1:17.1,2.6580
'1:17.15,2.6580
'1:17.2,2.6578
'1:17.25,2.6576
'1:17.3,2.6571
'1:17.35,2.6565
'1:17.4,2.6561
'1:17.45,2.6557
'1:17.5,2.6548
'1:17.55,2.6539
'1:17.6,2.6531
'1:17.65,2.6520
'1:17.7,2.6510
'1:17.75,2.6501
'1:17.8,2.6490
'1:17.85,2.6484
'1:17.9,2.6478
'1:17.95,2.6461
'1:18,2.6439
'1:18.05,2.6429
'1:18.1,2.6423
'1:18.15,2.6420
'1:18.2,2.6418
'1:18.25,2.6412
'1:18.3,2.6399
'1:18.35,2.6389
'1:18.4,2.6380
'1:18.45,2.6370
'1:18.5,2.6361
'1:18.55,2.6353
'1:18.6,2.6346
'1:18.65,2.6336
'1:18.7,2.6321
'1:18.75,2.6310
'1:18.8,2.6302
'1:18.85,2.6293
'1:18.9,2.6285
'1:18.95,2.6270
'1:19,2.6260
'1:19.05,2.6249
'1:19.1,2.6237
'1:19.15,2.6228
'1:19.2,2.6218
'1:19.25,2.6205
'1:19.3,2.6195
'1:19.35,2.6182
'1:19.4,2.6167
'1:19.45,2.6153
'1:19.5,2.6136
'1:19.55,2.6121
'1:19.6,2.6106
'1:19.65,2.6092
'1:19.7,2.6079
'1:19.75,2.6065
'1:19.8,2.6048
'1:19.85,2.6033
'1:19.9,2.6019
'1:19.95,2.6002
'1:20,2.5985
'1:20.05,2.5969
'1:20.1,2.5954
'1:20.15,2.5942
'1:20.2,2.5929
'1:20.25,2.5921
'1:20.3,2.5917
'1:20.35,2.5917
'1:20.4,2.5925
'1:20.45,2.5937
'1:20.5,2.5962
'1:20.55,2.6000
'1:20.6,2.6048
'1:20.65,2.6117
'1:20.7,2.6199
'1:20.75,2.6291
'1:20.8,2.6401
'1:20.85,2.6529
'1:20.9,2.6672
'1:20.95,2.6822
'1:21,2.6985
'1:21.05,2.7156
'1:21.1,2.7347
'1:21.15,2.7548
'1:21.2,2.7762
'1:21.25,2.7987
'1:21.3,2.8216
'1:21.35,2.8454
'1:21.4,2.8703
'1:21.45,2.8962
'1:21.5,2.9221
'1:21.55,2.9483
'1:21.6,2.9752
'1:21.65,3.0021
'1:21.7,3.0281
'1:21.75,3.0523
'1:21.8,3.0748
'1:21.85,3.0959
'1:21.9,3.1152
'1:21.95,3.1323
'1:22,3.1480
'1:22.05,3.1629
'1:22.1,3.1775
'1:22.15,3.1910
'1:22.2,3.2036
'1:22.25,3.2149
'1:22.3,3.2255
'1:22.35,3.2372
'1:22.4,3.2479
'1:22.45,3.2572
'1:22.5,3.2658
'1:22.55,3.2739
'1:22.6,3.2812
'1:22.65,3.2879
'1:22.7,3.2942
'1:22.75,3.3007
'1:22.8,3.3061
'1:22.85,3.3099
'1:22.9,3.3127
'1:22.95,3.3143
'1:23,3.3157
'1:23.05,3.3173
'1:23.1,3.3184
'1:23.15,3.3192
'1:23.2,3.3195
'1:23.25,3.3192
'1:23.3,3.3190
'1:23.35,3.3184
'1:23.4,3.3179
'1:23.45,3.3170
'1:23.5,3.3165
'1:23.55,3.3160
'1:23.6,3.3146
'1:23.65,3.3124
'1:23.7,3.3099
'1:23.75,3.3069
'1:23.8,3.3037
'1:23.85,3.3004
'1:23.9,3.2974
'1:23.95,3.2933
'1:24,3.2895
'1:24.05,3.2860
'1:24.1,3.2828
'1:24.15,3.2790
'1:24.2,3.2747
'1:24.25,3.2696
'1:24.3,3.2647
'1:24.35,3.2599
'1:24.4,3.2551
'1:24.45,3.2503
'1:24.5,3.2455
'1:24.55,3.2407
'1:24.6,3.2356
'1:24.65,3.2303
'1:24.7,3.2250
'1:24.75,3.2197
'1:24.8,3.2147
'1:24.85,3.2102
'1:24.9,3.2068
'1:24.95,3.2031
'1:25,3.1994
'1:25.05,3.1952
'1:25.1,3.1903
'1:25.15,3.1853
'1:25.2,3.1803
'1:25.25,3.1757
'1:25.3,3.1710
'1:25.35,3.1673
'1:25.4,3.1642
'1:25.45,3.1614
'1:25.5,3.1596
'1:25.55,3.1578
'1:25.6,3.1557
'1:25.65,3.1529
'1:25.7,3.1498
'1:25.75,3.1467
'1:25.8,3.1431
'1:25.85,3.1397
'1:25.9,3.1367
'1:25.95,3.1331
'1:26,3.1300
'1:26.05,3.1274
'1:26.1,3.1244
'1:26.15,3.1203
'1:26.2,3.1165
'1:26.25,3.1124
'1:26.3,3.1063
'1:26.35,3.0990
'1:26.4,3.0914
'1:26.45,3.0841
'1:26.5,3.0773
'1:26.55,3.0713
'1:26.6,3.0665
'1:26.65,3.0630
'1:26.7,3.0593
'1:26.75,3.0556
'1:26.8,3.0518
'1:26.85,3.0484
'1:26.9,3.0451
'1:26.95,3.0414
'1:27,3.0380
'1:27.05,3.0345
'1:27.1,3.0310
'1:27.15,3.0276
'1:27.2,3.0241
'1:27.25,3.0205
'1:27.3,3.0163
'1:27.35,3.0124
'1:27.4,3.0085
'1:27.45,3.0053
'1:27.5,3.0016
'1:27.55,2.9975
'1:27.6,2.9936
'1:27.65,2.9907
'1:27.7,2.9880
'1:27.75,2.9853
'1:27.8,2.9831
'1:27.85,2.9812
'1:27.9,2.9785
'1:27.95,2.9749
'1:28,2.9718
'1:28.05,2.9687
'1:28.1,2.9658
'1:28.15,2.9629
'1:28.2,2.9605
'1:28.25,2.9578
'1:28.3,2.9557
'1:28.35,2.9540
'1:28.4,2.9528
'1:28.45,2.9518
'1:28.5,2.9506
'1:28.55,2.9490
'1:28.6,2.9473
'1:28.65,2.9454
'1:28.7,2.9432
'1:28.75,2.9413
'1:28.8,2.9397
'1:28.85,2.9389
'1:28.9,2.9389
'1:28.95,2.9392
'1:29,2.9397
'1:29.05,2.9404
'1:29.1,2.9411
'1:29.15,2.9423
'1:29.2,2.9437
'1:29.25,2.9451
'1:29.3,2.9468
'1:29.35,2.9487
'1:29.4,2.9509
'1:29.45,2.9530
'1:29.5,2.9550
'1:29.55,2.9574
'1:29.6,2.9600
'1:29.65,2.9624
'1:29.7,2.9648
'1:29.75,2.9670
'1:29.8,2.9694
'1:29.85,2.9720
'1:29.9,2.9747
'1:29.95,2.9769
'1:30,2.9793
'1:30.05,2.9817
'1:30.1,2.9841
'1:30.15,2.9861
'1:30.2,2.9877
'1:30.25,2.9875
'1:30.3,2.9720
'1:30.35,2.9552
'1:30.4,2.9696
'1:30.45,2.9965
'1:30.5,3.0126
'1:30.55,3.0237
'1:30.6,3.0320
'1:30.65,3.0380
'1:30.7,3.0424
'1:30.75,3.0456
'1:30.8,3.0484
'1:30.85,3.0508
'1:30.9,3.0528
'1:30.95,3.0543
'1:31,3.0561
'1:31.05,3.0578
'1:31.1,3.0593
'1:31.15,3.0588
'1:31.2,3.0511
'1:31.25,3.0389
'1:31.3,3.0301
'1:31.35,3.0246
'1:31.4,3.0212
'1:31.45,3.0185
'1:31.5,3.0156
'1:31.55,3.0119
'1:31.6,3.0080
'1:31.65,3.0045
'1:31.7,3.0011
'1:31.75,2.9984
'1:31.8,2.9948
'1:31.85,2.9907
'1:31.9,2.9853
'1:31.95,2.9759
'1:32,2.9581
'1:32.05,2.9311
'1:32.1,2.9030
'1:32.15,2.8824
'1:32.2,2.8701
'1:32.25,2.8627
'1:32.3,2.8571
'1:32.35,2.8520
'1:32.4,2.8467
'1:32.45,2.8401
'1:32.5,2.8344
'1:32.55,2.8305
'1:32.6,2.8270
'1:32.65,2.8234
'1:32.7,2.8186
'1:32.75,2.8143
'1:32.8,2.8107
'1:32.85,2.8073
'1:32.9,2.8018
'1:32.95,2.7926
'1:33,2.7908
'1:33.05,2.7969
'1:33.1,2.8018
'1:33.15,2.8048
'1:33.2,2.8064
'1:33.25,2.8077
'1:33.3,2.8116
'1:33.35,2.8184
'1:33.4,2.8239
'1:33.45,2.8275
'1:33.5,2.8298
'1:33.55,2.8291
'1:33.6,2.8293
'1:33.65,2.8353
'1:33.7,2.8440
'1:33.75,2.8509
'1:33.8,2.8560
'1:33.85,2.8592
'1:33.9,2.8613
'1:33.95,2.8624
'1:34,2.8629
'1:34.05,2.8622
'1:34.1,2.8573
'1:34.15,2.8486
'1:34.2,2.8408
'1:34.25,2.8376
'1:34.3,2.8373
'1:34.35,2.8399
'1:34.4,2.8440
'1:34.45,2.8474
'1:34.5,2.8502
'1:34.55,2.8504
'1:34.6,2.8465
'1:34.65,2.8401
'1:34.7,2.8316
'1:34.75,2.8225
'1:34.8,2.8168
'1:34.85,2.8154
'1:34.9,2.8182
'1:34.95,2.8234
'1:35,2.8275
'1:35.05,2.8298
'1:35.1,2.8316
'1:35.15,2.8337
'1:35.2,2.8353
'1:35.25,2.8360
'1:35.3,2.8376
'1:35.35,2.8401
'1:35.4,2.8435
'1:35.45,2.8461
'1:35.5,2.8470
'1:35.55,2.8470
'1:35.6,2.8470
'1:35.65,2.8470
'1:35.7,2.8472
'1:35.75,2.8472
'1:35.8,2.8472
'1:35.85,2.8474
'1:35.9,2.8477
'1:35.95,2.8474
'1:36,2.8470
'1:36.05,2.8467
'1:36.1,2.8465
'1:36.15,2.8463
'1:36.2,2.8463
'1:36.25,2.8463
'1:36.3,2.8461
'1:36.35,2.8458
'1:36.4,2.8454
'1:36.45,2.8451
'1:36.5,2.8449
'1:36.55,2.8444
'1:36.6,2.8440
'1:36.65,2.8440
'1:36.7,2.8447
'1:36.75,2.8451
'1:36.8,2.8454
'1:36.85,2.8456
'1:36.9,2.8456
'1:36.95,2.8454
'1:37,2.8454
'1:37.05,2.8456
'1:37.1,2.8461
'1:37.15,2.8465
'1:37.2,2.8467
'1:37.25,2.8465
'1:37.3,2.8456
'1:37.35,2.8440
'1:37.4,2.8428
'1:37.45,2.8428
'1:37.5,2.8426
'1:37.55,2.8428
'1:37.6,2.8431
'1:37.65,2.8435
'1:37.7,2.8435
'1:37.75,2.8426
'1:37.8,2.8412
'1:37.85,2.8403
'1:37.9,2.8392
'1:37.95,2.8373
'1:38,2.8350
'1:38.05,2.8321
'1:38.1,2.8284
'1:38.15,2.8248
'1:38.2,2.8220
'1:38.25,2.8207
'1:38.3,2.8213
'1:38.35,2.8232
'1:38.4,2.8236
'1:38.45,2.8229
'1:38.5,2.8239
'1:38.55,2.8252
'1:38.6,2.8245
'1:38.65,2.8220
'1:38.7,2.8193
'1:38.75,2.8148
'1:38.8,2.8091
'1:38.85,2.8055
'1:38.9,2.8036
'1:38.95,2.8025
'1:39,2.8021
'1:39.05,2.8014
'1:39.1,2.8025
'1:39.15,2.8075
'1:39.2,2.8116
'1:39.25,2.8127
'1:39.3,2.8136
'1:39.35,2.8138
'1:39.4,2.8129
'1:39.45,2.8116
'1:39.5,2.8109
'1:39.55,2.8107
'1:39.6,2.8100
'1:39.65,2.8089
'1:39.7,2.8086
'1:39.75,2.8082
'1:39.8,2.8075
'1:39.85,2.8073
'1:39.9,2.8070
'1:39.95,2.8064
'1:40,2.8070
'1:40.05,2.8077
'1:40.1,2.8075
'1:40.15,2.8068
'1:40.2,2.8061
'1:40.25,2.8057
'1:40.3,2.8055
'1:40.35,2.8048
'1:40.4,2.8039
'1:40.45,2.8032
'1:40.5,2.8023
'1:40.55,2.8016
'1:40.6,2.8009
'1:40.65,2.8005
'1:40.7,2.7998
'1:40.75,2.7987
'1:40.8,2.7980
'1:40.85,2.7976
'1:40.9,2.7971
'1:40.95,2.7964
'1:41,2.7957
'1:41.05,2.7951
'1:41.1,2.7946
'1:41.15,2.7942
'1:41.2,2.7942
'1:41.25,2.7946
'1:41.3,2.7955
'1:41.35,2.7962
'1:41.4,2.7964
'1:41.45,2.7967
'1:41.5,2.7969
'1:41.55,2.7973
'1:41.6,2.7980
'1:41.65,2.7989
'1:41.7,2.8000
'1:41.75,2.8016
'1:41.8,2.8036
'1:41.85,2.8064
'1:41.9,2.8093
'1:41.95,2.8127
'1:42,2.8159
'1:42.05,2.8195
'1:42.1,2.8234
'1:42.15,2.8277
'1:42.2,2.8325
'1:42.25,2.8373
'1:42.3,2.8419
'1:42.35,2.8465
'1:42.4,2.8511
'1:42.45,2.8562
'1:42.5,2.8613
'1:42.55,2.8661
'1:42.6,2.8705
'1:42.65,2.8749
'1:42.7,2.8794
'1:42.75,2.8843
'1:42.8,2.8892
'1:42.85,2.8920
'1:42.9,2.8917
'1:42.95,2.8899
'1:43,2.8896
'1:43.05,2.8917
'1:43.1,2.8943
'1:43.15,2.8969
'1:43.2,2.8990
'1:43.25,2.9011
'1:43.3,2.9035
'1:43.35,2.9058
'1:43.4,2.9079
'1:43.45,2.9093
'1:43.5,2.9103
'1:43.55,2.9112
'1:43.6,2.9129
'1:43.65,2.9143
'1:43.7,2.9152
'1:43.75,2.9164
'1:43.8,2.9174
'1:43.85,2.9190
'1:43.9,2.9207
'1:43.95,2.9211
'1:44,2.9214
'1:44.05,2.9211
'1:44.1,2.9209
'1:44.15,2.9204
'1:44.2,2.9202
'1:44.25,2.9202
'1:44.3,2.9197
'1:44.35,2.9190
'1:44.4,2.9181
'1:44.45,2.9171
'1:44.5,2.9162
'1:44.55,2.9152
'1:44.6,2.9138
'1:44.65,2.9124
'1:44.7,2.9110
'1:44.75,2.9096
'1:44.8,2.9079
'1:44.85,2.9065
'1:44.9,2.9053
'1:44.95,2.9035
'1:45,2.9016
'1:45.05,2.8997
'1:45.1,2.8978
'1:45.15,2.8960
'1:45.2,2.8938
'1:45.25,2.8917
'1:45.3,2.8896
'1:45.35,2.8878
'1:45.4,2.8857
'1:45.45,2.8836
'1:45.5,2.8817
'1:45.55,2.8798
'1:45.6,2.8777
'1:45.65,2.8759
'1:45.7,2.8738
'1:45.75,2.8715
'1:45.8,2.8694
'1:45.85,2.8675
'1:45.9,2.8657
'1:45.95,2.8634
'1:46,2.8615
'1:46.05,2.8599
'1:46.1,2.8601
'1:46.15,2.8603
'1:46.2,2.8592
'1:46.25,2.8580
'1:46.3,2.8571
'1:46.35,2.8557
'1:46.4,2.8546
'1:46.45,2.8534
'1:46.5,2.8520
'1:46.55,2.8507
'1:46.6,2.8493
'1:46.65,2.8479
'1:46.7,2.8465
'1:46.75,2.8454
'1:46.8,2.8440
'1:46.85,2.8424
'1:46.9,2.8415
'1:46.95,2.8405
'1:47,2.8403
'1:47.05,2.8403
'1:47.1,2.8405
'1:47.15,2.8412
'1:47.2,2.8428
'1:47.25,2.8451
'1:47.3,2.8479
'1:47.35,2.8513
'1:47.4,2.8560
'1:47.45,2.8613
'1:47.5,2.8671
'1:47.55,2.8731
'1:47.6,2.8798
'1:47.65,2.8868
'1:47.7,2.8943
'1:47.75,2.9028
'1:47.8,2.9119
'1:47.85,2.9216
'1:47.9,2.9313
'1:47.95,2.9406
'1:48,2.9492
'1:48.05,2.9578
'1:48.1,2.9670
'1:48.15,2.9761
'1:48.2,2.9853
'1:48.25,2.9946
'1:48.3,3.0038
'1:48.35,3.0129
'1:48.4,3.0227
'1:48.45,3.0330
'1:48.5,3.0432
'1:48.55,3.0528
'1:48.6,3.0618
'1:48.65,3.0698
'1:48.7,3.0776
'1:48.75,3.0851
'1:48.8,3.0919
'1:48.85,3.0982
'1:48.9,3.1048
'1:48.95,3.1104
'1:49,3.1144
'1:49.05,3.1177
'1:49.1,3.1203
'1:49.15,3.1223
'1:49.2,3.1239
'1:49.25,3.1251
'1:49.3,3.1264
'1:49.35,3.1274
'1:49.4,3.1282
'1:49.45,3.1292
'1:49.5,3.1295
'1:49.55,3.1295
'1:49.6,3.1295
'1:49.65,3.1300
'1:49.7,3.1300
'1:49.75,3.1300
'1:49.8,3.1300
'1:49.85,3.1303
'1:49.9,3.1297
'1:49.95,3.1285
'1:50,3.1267
'1:50.05,3.1246
'1:50.1,3.1223
'1:50.15,3.1198
'1:50.2,3.1170
'1:50.25,3.1144
'1:50.3,3.1122
'1:50.35,3.1094
'1:50.4,3.1066
'1:50.45,3.1038
'1:50.5,3.1007
'1:50.55,3.0975
'1:50.6,3.0944
'1:50.65,3.0922
'1:50.7,3.0901
'1:50.75,3.0884
'1:50.8,3.0861
'1:50.85,3.0836
'1:50.9,3.0808
'1:50.95,3.0776
'1:51,3.0740
'1:51.05,3.0708
'1:51.1,3.0675
'1:51.15,3.0645
'1:51.2,3.0613
'1:51.25,3.0581
'1:51.3,3.0546
'1:51.35,3.0516
'1:51.4,3.0486
'1:51.45,3.0454
'1:51.5,3.0424
'1:51.55,3.0397
'1:51.6,3.0370
'1:51.65,3.0345
'1:51.7,3.0330
'1:51.75,3.0320
'1:51.8,3.0320
'1:51.85,3.0328
'1:51.9,3.0343
'1:51.95,3.0367
'1:52,3.0402
'1:52.05,3.0434
'1:52.1,3.0469
'1:52.15,3.0508
'1:52.2,3.0553
'1:52.25,3.0603
'1:52.3,3.0655
'1:52.35,3.0713
'1:52.4,3.0776
'1:52.45,3.0841
'1:52.5,3.0909
'1:52.55,3.0977
'1:52.6,3.1045
'1:52.65,3.1114
'1:52.7,3.1185
'1:52.75,3.1254
'1:52.8,3.1318
'1:52.85,3.1377
'1:52.9,3.1423
'1:52.95,3.1456
'1:53,3.1485
'1:53.05,3.1505
'1:53.1,3.1526
'1:53.15,3.1542
'1:53.2,3.1557
'1:53.25,3.1575
'1:53.3,3.1596
'1:53.35,3.1611
'1:53.4,3.1619
'1:53.45,3.1622
'1:53.5,3.1624
'1:53.55,3.1627
'1:53.6,3.1624
'1:53.65,3.1619
'1:53.7,3.1609
'1:53.75,3.1598
'1:53.8,3.1588
'1:53.85,3.1575
'1:53.9,3.1565
'1:53.95,3.1547
'1:54,3.1529
'1:54.05,3.1511
'1:54.1,3.1490
'1:54.15,3.1469
'1:54.2,3.1444
'1:54.25,3.1420
'1:54.3,3.1397
'1:54.35,3.1372
'1:54.4,3.1341
'1:54.45,3.1313
'1:54.5,3.1282
'1:54.55,3.1249
'1:54.6,3.1216
'1:54.65,3.1180
'1:54.7,3.1147
'1:54.75,3.1109
'1:54.8,3.1073
'1:54.85,3.1038
'1:54.9,3.1000
'1:54.95,3.0959
'1:55,3.0922
'1:55.05,3.0884
'1:55.1,3.0846
'1:55.15,3.0806
'1:55.2,3.0763
'1:55.25,3.0720
'1:55.3,3.0683
'1:55.35,3.0648
'1:55.4,3.0613
'1:55.45,3.0578
'1:55.5,3.0541
'1:55.55,3.0501
'1:55.6,3.0464
'1:55.65,3.0427
'1:55.7,3.0389
'1:55.75,3.0355
'1:55.8,3.0318
'1:55.85,3.0286
'1:55.9,3.0254
'1:55.95,3.0222
'1:56,3.0192
'1:56.05,3.0163
'1:56.1,3.0131
'1:56.15,3.0099
'1:56.2,3.0070
'1:56.25,3.0043
'1:56.3,3.0016
'1:56.35,2.9984
'1:56.4,2.9958
'1:56.45,2.9931
'1:56.5,2.9907
'1:56.55,2.9885
'1:56.6,2.9861
'1:56.65,2.9836
'1:56.7,2.9812
'1:56.75,2.9788
'1:56.8,2.9766
'1:56.85,2.9747
'1:56.9,2.9727
'1:56.95,2.9701
'1:57,2.9679
'1:57.05,2.9660
'1:57.1,2.9643
'1:57.15,2.9619
'1:57.2,2.9598
'1:57.25,2.9578
'1:57.3,2.9559
'1:57.35,2.9540
'1:57.4,2.9523
'1:57.45,2.9502
'1:57.5,2.9483
'1:57.55,2.9463
'1:57.6,2.9444
'1:57.65,2.9425
'1:57.7,2.9404
'1:57.75,2.9385
'1:57.8,2.9363
'1:57.85,2.9344
'1:57.9,2.9323
